GEO_id,GEO_id2,GEO_display_label,VD01
1400000US48029150100,48029150100,"Census Tract 1501, Bexar County, Texas",5658
1400000US48029150200,48029150200,"Census Tract 1502, Bexar County, Texas",1391
1400000US48029150300,48029150300,"Census Tract 1503, Bexar County, Texas",5034
1400000US48029150400,48029150400,"Census Tract 1504, Bexar County, Texas",4311
1400000US48029150501,48029150501,"Census Tract 1505.01, Bexar County, Texas",4543
1400000US48029150502,48029150502,"Census Tract 1505.02, Bexar County, Texas",4127
1400000US48029150600,48029150600,"Census Tract 1506, Bexar County, Texas",4668
1400000US48029150700,48029150700,"Census Tract 1507, Bexar County, Texas",6289
1400000US48029150800,48029150800,"Census Tract 1508, Bexar County, Texas",2563
1400000US48029150900,48029150900,"Census Tract 1509, Bexar County, Texas",6204
1400000US48029151000,48029151000,"Census Tract 1510, Bexar County, Texas",3454
1400000US48029151100,48029151100,"Census Tract 1511, Bexar County, Texas",7161
1400000US48029151200,48029151200,"Census Tract 1512, Bexar County, Texas",7889
1400000US48029151300,48029151300,"Census Tract 1513, Bexar County, Texas",9387
1400000US48029151400,48029151400,"Census Tract 1514, Bexar County, Texas",4700
1400000US48029151500,48029151500,"Census Tract 1515, Bexar County, Texas",2610
1400000US48029151600,48029151600,"Census Tract 1516, Bexar County, Texas",7281
1400000US48029151700,48029151700,"Census Tract 1517, Bexar County, Texas",6891
1400000US48029151800,48029151800,"Census Tract 1518, Bexar County, Texas",925
1400000US48029151900,48029151900,"Census Tract 1519, Bexar County, Texas",3059
1400000US48029152000,48029152000,"Census Tract 1520, Bexar County, Texas",710
1400000US48029152100,48029152100,"Census Tract 1521, Bexar County, Texas",5488
1400000US48029152200,48029152200,"Census Tract 1522, Bexar County, Texas",10055
1400000US48029160100,48029160100,"Census Tract 1601, Bexar County, Texas",5731
1400000US48029160200,48029160200,"Census Tract 1602, Bexar County, Texas",2696
1400000US48029160300,48029160300,"Census Tract 1603, Bexar County, Texas",5415
1400000US48029160400,48029160400,"Census Tract 1604, Bexar County, Texas",4935
1400000US48029160500,48029160500,"Census Tract 1605, Bexar County, Texas",7831
1400000US48029160600,48029160600,"Census Tract 1606, Bexar County, Texas",4997
1400000US48029160701,48029160701,"Census Tract 1607.01, Bexar County, Texas",3578
1400000US48029160702,48029160702,"Census Tract 1607.02, Bexar County, Texas",5761
1400000US48029160800,48029160800,"Census Tract 1608, Bexar County, Texas",13
1400000US48029160900,48029160900,"Census Tract 1609, Bexar County, Texas",8292
1400000US48029161000,48029161000,"Census Tract 1610, Bexar County, Texas",2838
1400000US48029161100,48029161100,"Census Tract 1611, Bexar County, Texas",7609
1400000US48029161200,48029161200,"Census Tract 1612, Bexar County, Texas",1980
1400000US48029161301,48029161301,"Census Tract 1613.01, Bexar County, Texas",9503
1400000US48029161302,48029161302,"Census Tract 1613.02, Bexar County, Texas",4458
1400000US48029161401,48029161401,"Census Tract 1614.01, Bexar County, Texas",7511
1400000US48029161402,48029161402,"Census Tract 1614.02, Bexar County, Texas",1939
1400000US48029161501,48029161501,"Census Tract 1615.01, Bexar County, Texas",7078
1400000US48029161502,48029161502,"Census Tract 1615.02, Bexar County, Texas",6893
1400000US48029161600,48029161600,"Census Tract 1616, Bexar County, Texas",4361
1400000US48029161700,48029161700,"Census Tract 1617, Bexar County, Texas",816
1400000US48029161800,48029161800,"Census Tract 1618, Bexar County, Texas",5179
1400000US48029161900,48029161900,"Census Tract 1619, Bexar County, Texas",7617
1400000US48029162001,48029162001,"Census Tract 1620.01, Bexar County, Texas",2319
